"millesimes";"name"
"1,5";"[evaluate] 2027G_HW = 2027G_BW+2027G_DW-2027G_FW"
"1,5";"[evaluate] 2027G_HX = 2027G_BX+2027G_DX-2027G_FX"
"1,5";"[evaluate] 2027G_HY = 2027G_DY-2027G_FY"
"1,5";"[evaluate] 2027G_HZ = 2027G_DZ-2027G_FZ"
"1,5";"[evaluate] 2027G_JA = 2027G_EA-2027G_GA"
"1,5";"[evaluate] 2027G_NB = #SUM(2027G_KB)#+#SUM(2027G_LB)#+#SUM(2027G_MB)#"
"1,5";"[evaluate] 2027G_NC = #SUM(2027G_KC)#+#SUM(2027G_LC)#+#SUM(2027G_MC)#"
"1,5";"[evaluate] 2027G_PE = 2027G_PB+2027G_PC-2027G_PD"
"1,5";"[evaluate] 2027G_QE = 2027G_QB+2027G_QC-2027G_QD"
"1,5";"[evaluate] 2027G_RE = 2027G_RB+2027G_RC-2027G_RD"
"1,5";"[evaluate] 2027H_BE = 2027H_BB+2027H_BC-2027H_BD"
"1,5";"[evaluate] 2027H_CE = 2027H_CB+2027H_CC-2027H_CD"
"1,5";"[evaluate] 2027H_DD = 2027H_DB-2027H_DC"
"1,5";"[evaluate] 2027H_EB = #SUM(2027H_DB)#"
"1,5";"[evaluate] 2027H_EC = #SUM(2027H_DC)#"
"1,5";"[evaluate] 2027H_ED = #SUM(2027H_DD)#"
"1,5";"[evaluate] 2027H_FE = 2027H_FB+2027H_FC-2027H_FD"
"1,5";"[evaluate] 2027H_GB = #SUM(2027H_FB)#"
"1,5";"[evaluate] 2027H_GC = #SUM(2027H_FC)#"
"1,5";"[evaluate] 2027H_GD = #SUM(2027H_FD)#"
"1,5";"[evaluate] 2027H_GE = #SUM(2027H_FE)#"
"1,5";"[evaluate] 2028D_CB = #SUM(2028D_BB)#"
"1,5";"[evaluate] 2028D_CC = #SUM(2028D_BC)#"
"1,5";"[evaluate] 2028D_CD = #SUM(2028D_BD)#"
"1,5";"[evaluate] 2029E_BR = #SUM(2029E_JB)#"
"1";"[evaluate] 2029E_BS = #SUM(2029E_JH)#"
"1,5";"[evaluate] 2029E_CR = #SUM(2029E_JC)#"
"1";"[evaluate] 2029E_CS = #SUM(2029E_JJ)#"
"1,5";"[evaluate] 2029E_DR = #SUM(2029E_JD)#"
"1";"[evaluate] 2029E_DS = #SUM(2029E_JK)#"
"1,5";"[evaluate] 2029E_ER = #SUM(2029E_JE)#"
"1";"[evaluate] 2029E_ES = #SUM(2029E_JL)#"
"1,5";"[evaluate] 2029E_FR = #SUM(2029E_JF)#"
"1";"[evaluate] 2029E_FS = #SUM(2029E_JM)#"
"1,5";"[evaluate] 2029E_GG = 2029E_BG+2029E_CG+2029E_DG+2029E_EG+2029E_FG"
"1";"[evaluate] 2029E_GH = 2029E_BH+2029E_CH+2029E_DH+2029E_EH+2029E_FH"
"1,5";"[evaluate] 2029E_GJ = 2029E_BJ+2029E_CJ+2029E_DJ+2029E_EJ+2029E_FJ"
"1";"[evaluate] 2029E_GK = 2029E_BK+2029E_CK+2029E_DK+2029E_EK+2029E_FK"
"1,5";"[evaluate] 2029E_GR = #SUM(2029E_JG)#"
"1";"[evaluate] 2029E_GS = #SUM(2029E_JN)#"
"1,5";"[evaluate] 2029E_HG = 2029E_HB+2029E_HC+2029E_HD+2029E_HE+2029E_HF"
"1";"[evaluate] 2029E_HN = 2029E_HH+2029E_HJ+2029E_HK+2029E_HL+2029E_HM"
"1,5";"[evaluate] 2029E_JG = 2029E_JB+2029E_JC+2029E_JD+2029E_JE+2029E_JF"
"1";"[evaluate] 2029E_JN = 2029E_JH+2029E_JJ+2029E_JK+2029E_JL+2029E_JM"
"1,5";"[evaluate] 2029F_GB = 2029F_BB+2029F_CB+2029F_DB+2029F_EB+2029F_FB"
"1,5";"[evaluate] 2029F_GC = 2029F_BC+2029F_CC+2029F_DC+2029F_EC+2029F_FC"
"1,5";"[evaluate] 2029F_GD = 2029F_BD+2029F_CD+2029F_DD+2029F_ED+2029F_FD"
"1,5";"[evaluate] 2029F_GE = 2029F_BE+2029F_CE+2029F_DE+2029F_EE+2029F_FE"
"1,5";"[evaluate] 2029F_GF = 2029F_BF+2029F_CF+2029F_DF+2029F_EF+2029F_FF"
"1,5";"[evaluate] 2029F_GG = 2029F_BG+2029F_CG+2029F_DG+2029F_EG+2029F_FG"
"1,5";"[evaluate] 2029G_BD = 2029G_BC-2029G_BB"
"1";"[evaluate] 2029G_CD = 2029G_CC-2029G_CB"
"1,5";"[evaluate] 2029G_GB = 2029G_KB+2029G_LB+2029G_DB+2029G_EB+2029G_FB"
"1,5";"[evaluate] 2029G_GC = 2029G_KC+2029G_LC+2029G_DC+2029G_EC+2029G_FC"
"1,5";"[evaluate] 2029G_GD = 2029G_KD+2029G_LD+2029G_DD+2029G_ED+2029G_FD"
"1,5";"[evaluate] 2029G_GE = 2029G_KE+2029G_LE+2029G_DE+2029G_EE+2029G_FE"
"1,5";"[evaluate] 2029G_GF = 2029G_KF+2029G_LF+2029G_DF+2029G_EF+2029G_FF"
"1,5";"[evaluate] 2029G_GG = 2029G_KG+2029G_LG+2029G_DG+2029G_EG+2029G_FG"
